date,name,value,icon
0001,"Web Summit",1,
0001,"Judite Sousa",1,
0001,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0001,"Salão Erótico",1,
0001,"Carla Ferreira",1,
0001,"Restaurante Canela",1,
0001,"Ljubomir Stanisic",1,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0001,"Manuel Canela",1,
0002,"António Leitão Amaro",1,
0002,"Mariana Mortágua",1,
0002,"Inês Lopes Gonçalves",1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/2022_-_ContentMakers_HM3_5063_%2852474867465%29_%28cropped%29.jpg/330px-2022_-_ContentMakers_HM3_5063_%2852474867465%29_%28cropped%29.jpg
0002,"Tânia Laranjo",1,
0002,"João Araújo",1,
0002,"Jorge Nuno Pinto da Costa",1,
0003,"Cristiano Ronaldo",1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/7bcb/live/0154c130-e3a7-11ef-8450-ff58a15d40df.jpg
0003,"Elma Aveiro",1,
0003,"Cristiano Ronaldo dos Santos",1,
0003,"Ricardo Quaresma",1,
0003,"Fábio Coentrão",1,
0003,"Maxi Pereira",1,
0004,"Gustavo Santos",1,https://media-manager.noticiasaominuto.com/640/naom_613002dac4937.webp?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoxMDc4LCJjcm9wSGVpZ2h0Ijo2MDYsImNyb3BYIjowLCJjcm9wWSI6MH0sInBvcnRyYWl0Ijp7ImNyb3BXaWR0aCI6NjA3LCJjcm9wSGVpZ2h0IjoxMDc5LCJjcm9wWCI6MjIzLCJjcm9wWSI6MX19
0004,"Manuel Maria Carrilho",1,
0004,"José Sócrates",1,https://upload.wikimedia.org/wikipedia/commons/7/78/Josesocrates09082006.jpg
0004,"Ana Rita Clara",1,
0004,"Nuno Espírito Santo",1,
0004,"Rúben Rua",1,https://www.imdb.com/name/nm4043995/
0004,Aristóteles,1,
0005,D4rkFrame,1,
0005,Windoh,1,
0005,SirKazzio,1,
0005,"Nuno Agonia",1,
0005,RicFazeres,1,
0005,Tiagovski,1,
0005,Wuant,1,
0006,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0006,"Rui Santos",1,
0006,"Rita Ferro Rodrigues",1,
0006,"Donald Trump",1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/TrumpPortrait.jpg/1024px-TrumpPortrait.jpg
0006,"Gonçalo da Câmara Pereira",1,
0007,"José Pinto Coelho",1,
0007,"Ivani Flori",1,
0007,"Evgueni Mouravitch",1,
0007,"Ljubomir Stanisic",1,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0007,"Marco De Camillis",1,
0007,"Io Appolloni",1,
0007,"Herman José",1,
0008,"Conceição Lino",1,
0008,"Rui Veloso",1,
0008,Carlão,1,
0009,"Diogo Morgado",1,
0009,Madonna,1,
0009,"Maria Vieira",1,
0009,"Fernando Rocha (Marido de Maria Vieira)",1,
0009,"José Rodrigues dos Santos",1,
0010,"Clientes da Primark",1,
0010,"Jorge Jesus",1,https://upload.wikimedia.org/wikipedia/commons/1/18/2020-02-17_Encontro_com_T%C3%A9cnico_do_Flamengo%2C_Jorge_Jesus_%28cropped%29.jpg
0010,"Rita Ferro Rodrigues",1,
0010,"Ana Malhoa",1,
0010,"Ana Markl",1,https://ffms.pt/sites/default/files/styles/autor_profile/public/2022-08/Ana%20Markl.png.webp
0010,"Silvia Alberto",1,
0010,"Dona Otilia",1,
0010,"Ljubomir Stanisic",1,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0011,"Bela Adormecida",1,
0011,"Branca de Neve",1,
0011,"A Bela e o Monstro",1,
0011,"Capuchinho Vermelho",1,
0011,"Peter Pan",1,
0012,Infarmed,1,
